"FIPS","State","County","Cancer","HeartDis","Injury","Homicide","Poor.Health","Diabetes","PhysicianShortage.Score","BroadBand.Score","Structural.Score","RaD.Score","Telehealth.Score.Raw","Score.adj","Telehealth.Score.Raw.Adj","Telehealth.Score.Final","CHSI.Score"
"01001","AL","Autauga",6.06834877036091,8.11561801341424,NA,NA,7.1656050955414,5.15923566878981,6.80901542111507,4.25177304964539,6.95626477541371,0.420382165605096,44.9462429598856,19.4283553076303,64.3745982675159,79.7645561565383,14.1839667837752
"01003","AL","Baldwin",6.32705206004471,7.80261897157458,5.67130919220056,NA,5.09872611464968,5.15923566878981,7.90035587188612,5.47517730496454,8.66430260047281,9.01061571125265,61.1093934958355,19.3487348569373,80.4581283527728,96.1819917276488,19.8009802238198
"01005","AL","Barbour",6.7614180772916,8.32960715426381,NA,NA,9.47770700636943,9.55095541401274,NA,1.80141843971631,6.95626477541371,2.14012738853503,45.0174982556026,11.3797003844161,56.3971986400187,63.5062042634426,15.0910252315554
"01007","AL","Bibb",7.80581283934845,7.16384541679974,5.67130919220056,NA,8.4171974522293,7.64012738853503,9.33570581257414,1.88652482269504,1.31205673758865,3.18895966029724,52.4215393222681,15.3065986472466,67.7281379695147,84.6961501749921,20.6409674483488
"01009","AL","Blount",5.10380070265091,5.36250399233472,5.96100278551532,NA,7.82802547770701,6.51273885350319,5.62277580071174,6.39716312056738,6.95626477541371,4.17409766454352,53.9183731729475,16.2560869959084,70.1744601688559,88.3868915049316,16.4273074805009
"01011","AL","Bullock",4.83232194187161,8.71925902267646,NA,NA,9.81210191082802,9.84713375796178,NA,1.69503546099291,0.620567375886525,6.46709129511677,41.9935107653341,20.2677453896111,62.2612561549452,75.3738466433344,13.5515809645481
"01013","AL","Butler",5.70744171191313,9.13126796550623,8.94150417827298,NA,9.67515923566879,9.72929936305732,NA,2.61347517730496,6.95626477541371,7.74097664543524,60.4953890525724,12.4779147612855,72.9733038138579,91.3140311804009,23.7802138556923
"01015","AL","Calhoun",5.10380070265091,8.57553497285212,3.85515320334262,NA,8.56687898089172,7.73248407643312,6.80901542111507,5.96099290780142,8.66430260047281,8.87473460721868,64.1428974727785,13.5179482853878,77.6608457581663,94.8775055679287,17.5344888788457
"01017","AL","Chambers",6.84126477163845,8.57553497285212,NA,NA,9.5031847133758,9.55095541401274,7.90035587188612,4.74822695035461,NA,NA,47.1195226941198,13.1175195700397,60.2370422641595,71.3331212217627,15.4167997444906
"01019","AL","Cherokee",6.17055253912488,8.09326093899713,7.02506963788301,NA,7.39171974522293,7.64012738853503,6.80901542111507,2.56382978723404,1.31205673758865,2.14012738853503,49.1457595842358,17.3323852135182,66.478144797754,82.7553293032135,21.288883116005
"01021","AL","Chilton",6.84126477163845,8.11561801341424,8.61281337047354,NA,7.87261146496815,6.67834394904459,NA,5.47517730496454,NA,NA,43.5958288745035,13.9443404089566,57.5401692834601,65.956092904868,23.5696961555262
"01023","AL","Choctaw",8.35515809645481,8.77355477483232,5.35376044568245,NA,9.42356687898089,9.64968152866242,NA,0.425531914893617,NA,4.17409766454352,46.15535130405,16.477491762652,62.632843066702,76.0419980909959,22.4824733169696
"01025","AL","Clarke",6.25359310124561,7.16384541679974,0.98050139275766,NA,9.5031847133758,9.60828025477707,NA,1.09574468085106,7.15130023640662,7.33333333333333,49.0897831295469,16.9403510812889,66.0301342108358,82.0553611199491,14.397939910803
"01027","AL","Clay",4.60555732992654,8.77355477483232,NA,NA,8.88853503184713,8.6624203821656,4.55516014234875,2.13829787234043,6.95626477541371,3.18895966029724,47.7687499691717,17.0578211411357,64.8265711103074,80.2736239261852,13.3791121047589
"01029","AL","Cleburne",2.40817630150112,5.13254551261578,1.73816155988858,NA,6.41082802547771,5.36624203821656,4.55516014234875,1.85815602836879,NA,NA,27.4692696084173,27.0975407129192,54.5668103213365,59.0518612790328,9.27888337400548
"01031","AL","Coffee",8.35515809645481,8.16671989779623,NA,NA,7.87261146496815,7.31528662420382,NA,3.80496453900709,1.31205673758865,0.564755838641189,37.3915531986599,18.4182957947733,55.8098489934332,62.010817690105,16.521877994251
"01033","AL","Colbert",8.60108591504312,8.26253593101246,4.49025069637883,NA,8.15605095541401,8.57643312101911,NA,3.25531914893617,8.54018912529551,8.02972399150743,57.9115888846066,12.0238768634222,69.9354657480288,88.0369074132994,21.3538725424344
"01035","AL","Conecuh",8.16033216224848,8.21462791440434,NA,NA,9.88853503184713,9.93312101910828,NA,2.25886524822695,6.95626477541371,3.18895966029724,48.6007058115461,21.4636989814211,70.0644047929672,88.195991091314,16.3749600766528
"01037","AL","Coosa",7.56946662408176,7.25327371446822,NA,NA,9.28662420382166,9.64012738853503,9.8220640569395,2.64184397163121,NA,NA,46.2133999594774,18.1168223944259,64.3302223539033,79.5418390073178,14.82274033855
"01039","AL","Covington",5.56052379431492,7.69722133503673,4.81894150417827,NA,8.15605095541401,8.07006369426752,NA,3.63829787234043,8.54018912529551,8.50106157112527,54.9823498519726,17.5159932929142,72.4983431448868,90.836780146357,18.0766866335299
"01041","AL","Crenshaw",6.7614180772916,7.76429255828809,NA,NA,8.93630573248408,8.88216560509554,7.90035587188612,1.83333333333333,1.31205673758865,4.64543524416136,48.0353631601288,18.9751258233162,67.010488983445,83.6780146356984,14.5257106355797
"01043","AL","Cullman",4.11050782497605,5.95656339827531,7.17548746518106,NA,7.39171974522293,6.23885350318471,NA,7.61347517730496,6.95626477541371,4.64543524416136,50.0883071337201,11.9855506582063,62.0738577919264,74.9284123448934,17.2425586884324
"01045","AL","Dale",7.94953688917279,5.29862663685723,8.74094707520891,NA,8.01273885350319,6.95541401273885,NA,5.4113475177305,6.95626477541371,0.747346072186836,50.072221832812,13.4766767430497,63.5488985758617,77.8873687559656,21.9891106012389
"01047","AL","Dallas",6.65282657297988,7.94634302139891,1.12534818941504,NA,9.84394904458599,9.94585987261146,NA,3.26595744680851,6.95626477541371,2.14012738853503,47.8766763117485,12.1494719495343,60.0261482612828,70.9513203945275,15.7245177837938
"01049","AL","DeKalb",4.91536250399233,7.07761098690514,7.65459610027855,NA,8.76751592356688,6.23885350318471,NA,4.66312056737589,6.95626477541371,2.68789808917197,48.9612224498892,14.2747943072472,63.2360167571364,77.28285077951,19.647569591176
"01051","AL","Elmore",6.17055253912488,7.61098690514213,3.49860724233983,NA,6.47770700636943,4.37898089171975,NA,4.66312056737589,6.95626477541371,7.0828025477707,46.8390224752563,18.8831987509651,65.7222212262214,81.7371937639198,17.2801466866068
"01053","AL","Escambia",6.42606196103481,9.61354199936123,8.61281337047354,NA,9.58917197452229,9.5796178343949,7.90035587188612,3.49290780141844,7.15130023640662,7.46496815286624,69.8307392023642,13.9998785085736,83.8306177109378,97.6137448297805,24.6524173308696
"01055","AL","Etowah",5.1549025870329,8.87575854359629,7.65459610027855,NA,8.76751592356688,8.21019108280255,NA,6.08510638297872,6.95626477541371,8.11464968152866,59.8189850771983,14.5596626760839,74.3786477532822,92.2685332484887,21.6852572309077
"01057","AL","Fayette",8.30086234429895,8.09326093899713,8.85793871866295,NA,8.50955414012739,8.57643312101911,NA,1.35815602836879,6.95626477541371,5.23991507430998,55.892385141198,12.5260599266931,68.4184450678911,85.7142857142857,25.252062001959
"01059","AL","Franklin",6.57936761418077,7.53114021079527,8.27298050139276,NA,8.90764331210191,7.31528662420382,NA,1.3758865248227,6.95626477541371,7.97452229299363,54.9130918559046,12.2844497131822,67.1975415690868,83.8052815781101,22.3834883263688
"01061","AL","Geneva",5.99808367933568,7.07761098690514,8.38440111420613,NA,8.4171974522293,8.28662420382166,NA,1.78368794326241,6.95626477541371,2.14012738853503,49.0439975437091,15.4595436857195,64.5035412294286,79.9872733057588,21.4600957804469
