"","seconds","scores.neutral","scores.happiness","scores.surprise","scores.sadness","scores.anger","scores.disgust","scores.fear","scores.contempt"
"1",1,0.9593992,4.28218436666667e-06,3.10034193333333e-05,0.0395262253333333,0.000302512133333333,7.81252573333333e-05,1.65717856666667e-06,0.0006569914
"2",2,0.9806739,8.98837573e-06,8.5017862e-05,0.018410342,0.00035442446,6.4605614e-05,8.99020080333333e-06,0.00039379996
"3",3,0.974680333333333,7.1578813e-06,4.97791526666667e-05,0.0243548963333333,0.0002580145,4.8596102e-05,5.09128726666667e-06,0.000596136633333333
"4",4,0.983827,1.16009273333333e-05,4.42406896666667e-05,0.0151631039333333,0.000234260083333333,5.12833726666667e-05,3.42281179866667e-06,0.000665015966666667
"5",5,0.994391033333333,2.51044556666667e-05,2.93912603333333e-05,0.00450918906666667,0.000120093353333333,3.41118053333333e-05,1.58657848666667e-06,0.000889498433333333
"6",6,0.9951853,5.88353596666667e-05,6.2235455e-05,0.00361245263333333,0.000163685456666667,4.8106707e-05,2.35452499333333e-06,0.0008670877
"7",7,0.9986077,1.8724838e-05,4.454684e-06,0.000820337666666667,6.56595433333333e-05,3.5228983e-06,9.7727e-08,0.000479462166666667
"8",8,0.990190566666667,2.27279286666667e-05,3.6765937e-05,0.00859983356666667,0.00022641868,6.31450173333333e-05,2.42352653e-06,0.000858126033333333
"9",9,0.986733133333333,2.5586237e-05,4.12296366666667e-05,0.012029446,0.000275974233333333,5.71866333333333e-05,3.29072414e-06,0.000834207433333333
"10",10,0.995896233333333,4.77714566666667e-05,1.63113326666667e-05,0.00295286033333333,0.000190210366666667,2.67405666666667e-05,4.72854066666667e-07,0.0008693254
"11",11,0.996200933333333,3.02127016666667e-05,1.02195183333333e-05,0.00277521933333333,0.00017288832,2.19250803333333e-05,3.20229236666667e-07,0.000788272133333333
"12",12,0.850697666666667,0.005944734906,7.278211e-06,0.0012185918,0.0001836536,0.000101434960666667,1.7465658e-07,0.141846530533333
"13",13,0.756039633333333,0.0402121366666667,1.22312266666667e-05,0.00025734752,0.000188534803333333,0.000141234186666667,6.28010666666667e-08,0.203148763333333
"14",14,0.859043366666667,0.0187823353333333,2.84602246666667e-05,0.000726614533333333,0.0005073672,0.000323866176666667,9.402906e-07,0.120587113333333
"15",15,0.868277166666667,0.02011681,4.4393504e-05,0.000832273466666667,0.0007126098,0.000511444853333333,9.43418966666667e-07,0.10950436
"16",16,0.7557607,0.0126382934333333,4.17407036666667e-05,0.0006115701,0.0129041579,0.00487423803333333,2.3425125e-07,0.213168936666667
"17",17,0.677207066666667,0.0165924483333333,1.72817553333333e-05,0.0003325029,0.010032631,0.0042757056,4.36794633333333e-08,0.29154229
"18",18,0.738361333333333,0.205661933333333,2.211906e-05,0.00012687784,0.00015238377,0.000197662576666667,9.80032833333333e-08,0.055477624
"19",19,0.7416324,0.237458766666667,2.04006536666667e-05,0.000103279843333333,0.00010339498,0.000176317643333333,1.2104914e-07,0.02050523
"20",20,0.7254824,0.241704566666667,2.80973073333333e-05,0.000819324626666667,0.000159640476666667,0.000334379676666667,8.6189957e-07,0.0314706366666667
"21",21,0.943497266666667,0.0321299386666667,5.39582516666667e-05,0.00171537429,0.000414683386666667,0.000490561586666667,1.87902226333333e-06,0.0216964643333333
"22",22,0.9876596,0.00265083,2.30252146666667e-05,0.0011116246,0.000506003546666667,0.000231190373333333,5.68434106666667e-07,0.00781721233333333
"23",23,0.980480766666667,0.0012652463,9.92618e-05,0.0107744754333333,0.0008574657,0.000670180543333333,1.56441022333333e-05,0.005836976
"24",24,0.9891434,0.0009490626,7.1207253e-05,0.0053803989,0.000431069633333333,0.000254462823333333,6.35096599333333e-06,0.00376402766666667
