"","seconds","scores.neutral","scores.happiness","scores.surprise","scores.sadness","scores.anger","scores.disgust","scores.fear","scores.contempt"
"1",1,0.963668133333333,1.1988613e-06,7.22628896666667e-06,0.0138365385666667,0.0216967477966667,0.000123671998633333,3.85941913666667e-07,0.000666030033333333
"2",2,0.936542866666667,6.55266953333333e-07,1.15915045e-05,0.00224443972666667,0.0606808743,0.0001143803026,1.548246008e-06,0.000403509666666667
"3",3,0.880864266666667,1.56715633333333e-07,8.37908666666667e-06,0.011278311,0.106424183333333,0.0006633627,7.70826633333333e-07,0.000760535666666667
"4",4,0.8942201,2.12044263333333e-07,1.370631e-05,0.018703593,0.0862154233333333,0.000340902556,1.74444346666667e-06,0.000504370803333333
"5",5,0.993197233333333,4.571709e-07,4.51096633333333e-06,0.00113445633333333,0.00551326633333333,9.98512833333333e-06,4.09096366666667e-07,0.00013968013
"6",6,0.995704833333333,4.23664666666667e-07,3.5025e-06,0.00117320456666667,0.00298186866666667,6.174448e-06,3.53258866666667e-07,0.000129644876666667
"7",7,0.986426233333333,4.16240466666667e-07,4.90200216666667e-06,0.00961053436666667,0.003655036,6.0910402e-05,5.84826946666667e-07,0.00024137748
"8",8,0.9704029,1.8444739e-07,5.02347363333333e-06,0.0032614441,0.0261203758333333,6.0596081e-05,5.3447141e-07,0.000148954213333333
"9",9,0.8551934,1.54691642e-06,1.59294056666667e-05,0.0573288413333333,0.0844364433333333,0.00120185835666667,1.97623616666667e-06,0.0018200289
"10",10,0.9838886,8.12185366666667e-07,6.448376e-06,0.00883982273333333,0.0067481071,0.000143523226333333,6.74867513333333e-07,0.000371971336666667
"11",11,0.9981878,2.338593e-07,1.1633072e-06,0.000530689833333333,0.0012055338,2.27054506666667e-06,6.59040866666667e-08,7.22705766666667e-05
"12",12,0.998190066666667,3.21885733333333e-07,1.68326346666667e-06,0.000552454133333333,0.001173031,2.257432e-06,9.646729e-08,8.01782033333333e-05
"13",13,0.996587866666667,3.00418466666667e-07,1.92958566666667e-06,0.0011185652,0.00214476063333333,5.53273066666667e-06,1.72347603333333e-07,0.00014092519
"14",14,0.978227933333333,5.776786e-07,6.18914166666667e-06,0.00270292866666667,0.0185871626666667,6.75148093333333e-05,9.114907e-07,0.000406767166666667
"15",15,0.994681466666667,3.78845533333333e-07,2.34152966666667e-06,0.00134347886666667,0.00380522266666667,8.927659e-06,2.828431e-07,0.00015790389
"16",16,0.993600233333333,4.36962333333333e-07,3.812337e-06,0.00190844066666667,0.004280816,1.2871411e-05,5.372861e-07,0.0001928045
