,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006*,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014R,,,2015,,
,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International,Total,Domestic,International
Aug,663115.8345,418343.1594,244772.6751,660626.9283,407025.3891,253601.5392,595236.3364,347643,247593.3364,565034.0876,324195,240839.0876,608913.1554,358947,249966.1554,630675.142,349363,281312.142,636997.0134,367145,269852.0134,628330.1402,368668,259662.1402,602638.1841,368949.1841,233689,629857.9452,399433.9452,230424,631138.1818,398880,232258.1818,645700.2448,415972.972,229727.2728,617898.7385,427850.7385,190048,627271.517,450743.517,176528,646631.4666,460648.4666,185983,696923.8734,509180.8734,187743,697370,520906,176464,733025.2814,544100.2814,188925,606336,433162,173174,608522.027,444265.027,164257,678020.7292,502636.7292,175384,651755.6472,458571.6472,193184,728842.0024,496529.0024,232313,738696.6595,492011.6595,246685,735757.8035,491862.8035,243895,757539.0313,506339.0313,251200
Sep,497191.4099,321391.2862,175800.1237,540820.0888,320947.8398,219872.249,516918.4719,289489,227429.4719,461879.5556,258391,203488.5556,490726.3624,273869,216857.3624,514309.6004,263710,250599.6004,522940.0017,277225,245715.0017,548046.4028,290089,257957.4028,509856.8705,293784.8705,216072,528768.9565,317457.9565,211311,533849,326897,206952,360117.547,243245.247,116872.3,464973.5421,298870.5421,166103,474980.9274,313355.9274,161625,522079.914,351802.914,170277,559171.8333,383985.8333,175186,562777,406331,156446,558430.7614,400580.7614,157850,450500,312035,138465,485084.1667,333372.1667,151712,528469.4152,363567.4152,164902,553186.9654,376826.9654,176360,588899.7919,380844.7919,208055,585891.4763,367389.4763,218502,611255.7578,387228.7578,224027,623898.7812,401034.7812,222864
Oct,511542.7185,341781.5718,169761.1468,510709.8195,319279.3719,191430.4476,512440.1795,326785,185655.1795,489211.3864,303930,185281.3864,497766.3005,304552,193214.3005,520929.0152,307507,213422.0152,512151.7453,287196,224955.7453,538428.3529,322958,215470.3529,516413.1182,331029.1182,185384,555962.9493,369865.9493,186097,555581.2727,358855,196726.2727,389639.9083,289415.6356,100224.2727,512613.3693,343987.3693,168626,510814.528,349351.528,161463,562763.0812,386205.0812,176558,594169.7107,415033.7107,179136,576682,422246,154436,570646.6212,427631.6212,143015,496386,355211,141175,494926.4107,350645.4107,144281,564452.9496,406809.9496,157643,568211.2093,399660.2093,168551,618717.0628,419205.0628,199512,615612.6745,394453.6745,221159,650638.3311,428510.3311,222128,670039.1817,447790.1817,222249
Nov,522012.7997,344115.9324,177896.8674,515795.0723,310446.7039,205348.3684,517456.37,319370,198086.37,478892.8254,285396,193496.8254,520406.6482,318179,202227.6482,524061.167,298920,225141.167,513708.6892,290728,222980.6892,530599.5672,311218,219381.5672,511051.8731,305986.8731,205065,541608.9539,335752.9539,205856,533497,337212,196285,389749.3498,294798.3498,94951,493521.3508,328033.3508,165488,501479.6233,339667.6233,161812,527981.6802,366814.6802,161167,562483.9256,401302.9256,161181,580201,422806,157395,576370.975,421895.975,154475,485622,353032,132590,476800.6146,332825.6146,143975,553486.2127,397616.2127,155870,557587.3796,389667.3796,167920,634489.6731,429609.6731,204880,609049.4739,400511.4739,208538,630391.284,412580.284,217811,659530.5761,434376.5761,225154
Dec,567842.3783,329412.5629,238429.8155,573038.6476,325305.2603,247733.3873,548762.2803,298276,250486.2803,518070.4628,282585,235485.4628,562337.3777,313888,248449.3777,578544.7656,299314,279230.7656,560193.3112,285909,274284.3112,572728.9031,316179,256549.9031,557994.7249,328209.7249,229785,539153.9536,338037.9536,201116,580460.9091,355451,225009.9091,488272.5001,339417.591,148854.9091,568020.6523,358085.6523,209935,584773.1779,389131.1779,195642,616609.6952,430263.6952,186346,655821.9319,460265.9319,195556,676723,497356,179367,663948.1358,483557.1358,180391,551105,391490,159615,569425.1661,396707.1661,172718,623907.7967,438565.7967,185342,670115.8297,463228.8297,206887,726540.779,494626.779,231914,703595.6303,461715.6303,241880,754281.6227,499700.6227,254581,792742.1966,530957.1966,261785
O'AHU,5139558.32,2900484.461,2239073.859,4831026.585,2573475.976,2257550.61,4864159.538,2421637.38,2442522.158,4472234.695,2258534.101,2213700.594,4629736.095,2284181.139,2345554.956,4817552.083,2216896.209,2600655.874,4903883.806,2227348.671,2676535.135,4875611.523,2173316.101,2702295.422,4601833.868,2222550.605,2379283.263,4560141.595,2347040.34,2213101.255,4719243.705,2485057.681,2234186.024,4257535.562,2379285.3,1878250.262,4276076.907,2423169.282,1852907.624,4090482.698,2415385.662,1675097.036,4464551.482,2612028.599,1852522.883,4731842.881,2808467.236,1923375.645,4688117.012,2891187.297,1796929.715,4694749.877,2950382.51,1744367.367,4193685,2554895,1638790,4024888.335,2446799.591,1578088.744,4328849.208,2587556.832,1741292.375,4401623.907,2592014.45,1809609.457,4904045.463,2734643.254,2169402.209,5044275.772,2732455.808,2311819.964,5192620.579,2779642.122,2412978.457,5339912.057,2868749.423,2471162.634
Jan,423136.1761,219877.4053,203258.7708,408322.8215,209293.1762,199029.6453,418399.6833,198466.7198,219932.9636,387528.451,183290.878,204237.573,351456.8268,169043.3005,182413.5263,387833.1879,179233.974,208599.2139,412036.8902,175906.378,236130.5122,381346.6927,169532.9047,211813.788,388518.5815,169965.1517,218553.4298,355080.3916,167211.4771,187868.9145,353768.2828,176496,177272.2828,381725.8313,188384.7,193341.1313,303429.1324,167178.1324,136251,344520.9363,181730.428,162790.5083,330186.7107,182613.3829,147573.3278,369426.0389,198377.4212,171048.6177,375190.7589,209740.7528,165450.0061,359735.5183,214476.6264,145258.8919,362746,217141,145605,318134.2502,182419.8016,135714.4486,318332.3657,179013.3797,139318.9859,358571.4982,200548.8174,158022.6808,390301.0356,213913.6797,176387.3559,395363.7698,215037.5979,180326.1719,417883.0618,214546.9423,203336.1195,405600.1764,205247.5059,200352.6705
Feb,388868.0864,211565.3258,177302.7606,296242.8829,166972.3816,129270.5012,397548.1606,181844.0581,215704.1026,340022.3863,177727.9239,162294.4624,378670.949,182393.0195,196277.9295,356399.8034,177855.7866,178544.0168,424968.3105,191322.0904,233646.2201,401145.7534,172943.4034,228202.3499,382939.6291,169414.7175,213524.9116,376176.4256,177982.1244,198194.3012,391413.1876,196196.5115,195216.676,375680.3897,191726.6,183953.7897,332767.2296,196495.955,136271.2746,325162.4357,173418.5755,151743.8602,351049.2449,202758.8123,148290.4327,363257.4494,212764.969,150492.4804,361303.5236,222289.568,139013.9555,355168.8311,219400.4617,135768.3694,364374,225002,139372,314424.8324,189315.2426,125109.5897,311715.3424,172291.1443,139424.1981,347490.1833,196754.2267,150735.9565,366579.7293,200017.2007,166562.5286,386215.7182,204992.5886,181223.1296,392615.3222,205563.6574,187051.6648,400685.8232,201519.4376,199166.3855
Mar,414871.833,231199.3764,183672.4566,361459.9303,223249.7554,138210.1749,403331.5428,204559.6025,198771.9403,385435.8995,205708.2986,179727.6009,414477.3624,202732.9912,211744.3712,402418.3005,190608.9992,211809.3013,417381.0525,193367.3129,224013.7396,433629.0394,192960.2749,240668.7645,392837.9764,184468.8629,208369.1135,392906.0766,197174.9208,195731.1558,414299.5963,216014.9513,198284.645,407230.2814,219344,187886.2814,378613.6537,219910.0083,158703.6455,337651.5372,202451.5668,135199.9704,361168.0637,214142.6608,147025.4029,413349.5066,248849.5044,164500.0023,398385.1635,234957.025,163428.1385,407398.4532,252151.3233,155247.13,394135,242915,151220,326149.1382,186086.7284,140062.4098,357944.5112,200931.936,157012.5752,357242.1754,218013.6658,139228.5096,405062.2077,228113.402,176948.8057,434897.4134,238725.793,196171.6204,436844.9018,236292.8843,200552.0175,458775.6382,250627.0512,208148.587
Apr,405477.1836,234476.4627,171000.7208,362282.5442,207528.8664,154753.6778,360550.0381,190776.5257,169773.5125,340057.7122,187885.8795,152171.8327,335845.6468,177095.7419,158749.9049,339305.9846,172269.9541,167036.0305,365509.7623,171978.775,193530.9873,373225.1279,175459.3791,197765.7487,361311.1708,185290.0813,176021.0895,345482.2576,184084.9682,161397.2894,374591.4095,199499.7181,175091.6914,360598.4561,197334,163264.4561,316367.6866,184896.6478,131471.0388,283564.3978,191539.8507,92024.54708,334641.6751,204559.0924,130082.5827,338906.651,201535.7436,137370.9074,358536.8584,222006.5386,136530.3199,367399.6964,237203.867,130195.8294,329043,210307,118736,329652.3639,205942.0176,123710.3463,325933.8593,200083.6709,125850.1884,328133.8177,209167.6609,118966.1568,371770.9242,215806.8389,155964.0852,386073.6614,219712.8993,166360.7622,392377.0493,218836.7562,173540.293,401169.4016,223576.2327,177593.1689
