"","State_FIPS_Code","County_FIPS_Code","Premature.death.Value","Poor.or.fair.health.Value","Poor.physical.health.days.Value","Poor.mental.health.days.Value","Low.birthweight.Value","Adult.smoking.Value","Adult.obesity.Value","Food.environment.index.Value","Physical.inactivity.Value","Access.to.exercise.opportunities.Value","Excessive.drinking.Value","Alcohol.impaired.driving.deaths.Value","Sexually.transmitted.infections.Value","Teen.births.Value","Primary.care.physicians.Value","Mental.health.providers.Value","Preventable.hospital.stays.Value","Population.estimate.Value","Percent.of.population.below.18.years.of.age","Percent.of.population.aged.65.years.and.older","Percent.of.population.that.is.non.Hispanic.African.American","Percent.of.population.that.is.American.Indian.or.Alaskan.Native","Percent.of.population.that.is.Asian","Percent.of.population.that.is.Native.Hawaiian.or.Other.Pacific.Islander","Percent.of.population.that.is.Hispanic","Percent.of.population.that.is.non.Hispanic.White","Population.that.is.not.proficient.in.English.Value","Percent.of.population.that.is.female","Population.living.in.a.rural.area.Value","Diabetes.Value","Other.primary.care.providers.Value"
"782","18","145","7,547",0.152,3.6,3.9,0.06,0.21,0.315,7.9,0.308,0.537,0.154,0.146,"285.6",43.9,20,"81",62.7,"44,579",0.231,0.156,0.011,0.003,0.008,0.002,0.039,0.93,0.013,0.506,0.52,0.103,"49"
"783","18","147","7,411",0.14,3.4,3.7,0.07,0.183,0.287,8.4,0.293,0.504,0.162,0.08,"163.2",32,29,"19",42.39,"20,801",0.226,0.18,0.006,0.003,0.004,0,0.028,0.952,0.008,0.493,1,0.104,"29"
"784","18","149","11,082",0.189,4.2,4.2,0.07,0.225,0.357,7.5,0.341,0.545,0.15,0.207,"168.0",44.1,34,"13",91.32,"23,074",0.232,0.168,0.004,0.005,0.003,0,0.034,0.945,0.002,0.504,0.824,0.117,"22"
"785","18","151","6,493",0.146,3.4,3.7,0.07,0.2,0.336,7.4,0.303,0.486,0.162,0.529,"149.5",38,35,"70",55.85,"34,308",0.211,0.172,0.008,0.003,0.006,0,0.032,0.943,0.005,0.493,0.672,0.101,"12"
"786","18","153","10,305",0.181,4.1,4.1,0.08,0.218,0.33,7.2,0.351,0.304,0.156,0.44,"212.4",51.8,42,"29",95.26,"21,050",0.203,0.163,0.046,0.003,0.003,0,0.018,0.92,0.009,0.457,0.79,0.108,"19"
"787","18","155","9,072",0.189,4.2,4.2,0.06,0.225,0.309,7.7,0.332,0.188,0.152,0.308,"201.5",41,NA,"19",92.88,"10,452",0.248,0.163,0.007,0.003,0.002,0,0.017,0.962,0.01,0.489,1,0.117,"19"
"788","18","157","6,682",0.177,4,4.1,0.07,0.207,0.25,6.4,0.253,0.718,0.172,0.32,"471.0",25.2,69,"133",53.48,"183,074",0.208,0.103,0.047,0.004,0.072,0.001,0.08,0.781,0.021,0.489,0.145,0.077,"51"
"789","18","159","7,580",0.133,3.2,3.7,0.08,0.183,0.315,7.3,0.312,0.378,0.163,0.095,"133.8",34.1,38,"26",76.8,"15,415",0.214,0.193,0.004,0.003,0.005,0,0.026,0.956,0.007,0.501,0.616,0.103,"6"
"790","18","161","7,655",0.155,3.6,3.9,0.06,0.202,0.317,8,0.341,0.558,0.164,0.1,"108.7",41.6,69,"14",59.49,"7,246",0.228,0.169,0.007,0.003,0.003,0,0.014,0.959,0.002,0.507,1,0.106,"55"
"791","18","163","8,423",0.173,4.1,4.1,0.09,0.204,0.342,7.2,0.286,0.855,0.165,0.244,"507.6",39.3,95,"184",60.18,"182,006",0.22,0.152,0.092,0.003,0.013,0.001,0.025,0.844,0.006,0.516,0.092,0.101,"104"
